Tamanho da Mensagem;Tempo de Resposta
0;-0,8966981456495408
5000;-2,068624261998351
10000;-2,792337300848716
15000;-3,785576297673544
20000;-4,736265609907727
25000;-5,7092685713663
30000;-6,695510450172789
35000;-7,515069531918125
40000;-8,468689944429299
45000;-9,641185605663358
50000;-10,473317257426707
